Term,Weight
...,0.24719342680967693
customer,0.16909056471157677
financial,0.1683877832189301
identity,0.1488426830215076
service,0.127430940481411
bank,0.12494317156022405
market,0.10973426834973735
platform,0.10162938833708729
payment,0.10030766778951392
data,0.10023504578122194
institution,0.09686847519334177
digital,0.09109263748591166
user,0.08874261584688758
product,0.08648097506677037
information,0.08379798820555716
risk,0.08253379937832109
process,0.07979921752376845
new,0.07925582880564877
transaction,0.0788758972203325
investor,0.07649215308738042
attribute,0.07119826299192046
key,0.07037266381648269
investment,0.06394339144198845
2016,0.06338850568965089
economic,0.06335080783082077
forum,0.06234538706826692
asset,0.0603263549983272
insurance,0.059017851697833364
scenario,0.056774010879609614
insurer,0.05541135872216166
need,0.05525367911218959
statesintroduction,0.055134614153973034
technology,0.054106931394550986
incumbent,0.05370932883365509
traditional,0.05315831490451011
dlt,0.05265749102313039
entity,0.05209944839053677
alternative,0.05114500070152453
access,0.050388946419924266
regulator,0.0496390484452247
uncertainty,0.049587044321897256
end,0.04947741175862507
implication,0.04866228403352689
provider,0.04832612796832578
business,0.048236507914018865
solution,0.048100602916945005
capital,0.047121436450415374
lending,0.04678007690656536
fis,0.04674672676070639
idp,0.045276800643899
individual,0.04438194424419015
value,0.042745583483997235
provide,0.041919157082244585
management,0.04177381719044055
cost,0.040942029293643364
use,0.040063103778941685
future,0.039728602315130805
model,0.03954654217091685
opportunity,0.038412276274835726
potential,0.037967424066441935
regulatory,0.037502304477680146
finding,0.036317232333137675
retrieved,0.036006278631166067
http,0.036006278631166067
e.g.,0.03594235896391087
case,0.03549001661923631
global,0.035256752017595296
trade,0.03509077971272366
transfer,0.034308778052191166
intermediary,0.033683444854148266
world,0.033546632408788246
smart,0.03316029653762017
large,0.032901674651044654
contract,0.03276608200760985
crowdfunding,0.032631936882228506
network,0.032134955030875365
conclusion,0.031956066126752246
equity,0.03172862247898841
innovation,0.031573312513986374
loan,0.03109748593814005
benefit,0.030907191780750007
industry,0.03047244661662607
time,0.030206347356122112
ecosystem,0.030038144594955556
funding,0.029025340482897302
state,0.028533974197036308
infrastructure,0.028451184572105378
e.g,0.02836445970306592
rps,0.028360193809914756
source,0.027959762539689223
credit,0.027496584743104138
card,0.02704113506796506
firm,0.02674166490611301
online,0.02643963589063759
automated,0.026074092168636598
offer,0.02607220954904068
role,0.025997811880802232
lender,0.025994164022001012
banking,0.025540511457883067
trading,0.025411239922628726
project,0.025237337731053272
fintechs,0.02516628645897989
party,0.02509280677323294
account,0.024963196155152155
distributed,0.02437938891107338
offering,0.024168685115940447
standard,0.023915069386601148
company,0.023792596661233203
experience,0.02379150111234753
deloitte,0.023698925217744544
activity,0.02354285319765443
evidence,0.02325405494929475
authentication,0.02319826508862889
claim,0.023118916077860933
ability,0.02311195572454151
group,0.0230505257277154
settlement,0.02290379673474786
critical,0.02284154089049794
different,0.022722346919103735
scale,0.022424106694868343
capability,0.02233822085232481
number,0.022261260434515814
condition,0.022241656317816716
strategy,0.02222988624572346
change,0.021961561008944332
lead,0.021909918996523
fund,0.021907446890222677
increase,0.021794767843384175
scheme,0.02176310713184364
allow,0.021744119879341613
based,0.02172143126987472
pressure,0.021712850920197375
increased,0.02157521612085168
proxy,0.021486463425349437
mobile,0.02124104470245913
set,0.021146807051504464
stakeholder,0.02110819203494644
manager,0.020988122376892425
development,0.020985649699468426
impact,0.02078427848961077
channel,0.02069496577032414
underwriting,0.020526211795726685
core,0.020484849661329817
focus,0.02044880054362101
current‐state,0.020322725471410102
government,0.020224027537216235
additional,0.020199247191405027
merchant,0.020164332870102046
partnership,0.020042351064107133
control,0.020040491197043868
summary,0.019976555173668274
loss,0.01977748701099736
wealth,0.01962130062240041
shift,0.019412130372020105
competition,0.019161940722870113
legal,0.018944722356474285
compliance,0.018744218976064396
bond,0.01866068256870096
ledger,0.018602818118435775
real‐time,0.018558873441210304
money,0.018449066970092805
coco,0.018248977974327438
required,0.018216521821234257
distribution,0.018212841087926996
high,0.018050477418415083
statement,0.01795334240837243
regulation,0.017945739905274836
increasing,0.017907174216996946
private,0.01767120236184649
level,0.017421981656303525
connected,0.017405969057573144
member,0.01718686704891119
le,0.01709835159703671
improve,0.017062538011524776
security,0.017000829989636916
marketplace,0.016953374097006944
chain,0.016872008282578465
report,0.016810851612614156
able,0.016801127816671733
single,0.016593173049492017
create,0.016546996463425608
gain,0.016459188552898973
supporting,0.01645594784049311
study,0.01641925957633275
improved,0.01633927741503259
view,0.016266991354562475
counterparty,0.016171845360144363
custodian,0.01610478511599405
share,0.01600333990354466
retail,0.01597572834995224
exchange,0.015962845862667583
ceo,0.015929634085528246
directly,0.015836364054392933
challenge,0.015761173030828156
3findings,0.015752746901135154
limited,0.015586713645974052
result,0.015548554063652058
tech,0.015484171993375942
fee,0.015453541785639943
citizen,0.015423965054515043
corporation,0.015337396254733082
growth,0.015276346681705232
enable,0.015187407499401732
partner,0.015177982171522652
niche,0.015103030712971224
life,0.015058303263676357
personal,0.01503514149946179
competitive,0.014992313780580361
implementation,0.01491909570220012
relationship,0.014918097652778337
support,0.014904945139780728
emerging,0.014899165666705079
point,0.014896327178383064
current,0.014888138772630889
rehypothecation,0.014779376076996417
act,0.014778754224567769
make,0.014739415052387574
dfindings,0.014627550693911216
existing,0.01460265466951873
question,0.014549779460466488
buyer,0.014517366825586304
collateral,0.014516232479578645
approach,0.014445033376399867
rise,0.014351535882225923
lower,0.014281122591852907
reduce,0.014152821212026767
today,0.014129176287835568
following,0.01407477597425217
reduced,0.014034110044208837
voting,0.013929553422596573
trusted,0.013889009512268421
seller,0.013800164573057952
faster,0.013690691642170731
requirement,0.013690176311906152
example,0.013612784623718944
efficiency,0.013607224870732394
return,0.013552842987895795
significant,0.013544131550052317
providing,0.013539985962555522
borrower,0.013378001653775198
audit,0.013375436639503573
order,0.0133501017838478
sender,0.01333002822427323
analysis,0.013315492143281486
smaller,0.013264990540853061
non-traditional,0.013236161446123012
participant,0.013205046500489375
raising,0.013138602265860964
transparency,0.013136756507695592
head,0.013079506848553515
choice,0.013012941214157624
venture,0.01299349662739107
associated,0.012976983882874198
execution,0.012971730318819399
require,0.01283150689598866
future‐state,0.012818016204321814
using,0.01281329379112029
multiple,0.012773335947856533
social,0.01274469205563344
adoption,0.01269829158622435
mean,0.012650301713222527
provides,0.012583377866604939
player,0.012491174638639723
arranger,0.012442484982495979
organization,0.012433970944270963
open,0.012420963721017976
deposit,0.012405509827248501
compete,0.012343538438692835
ownership,0.012290123188541297
expert,0.01228840740106977
increasingly,0.012277601643049618
entrant,0.01224361673715724
revenue,0.012165064116682773
externalisation,0.012059613762023188
lack,0.012054683805508162
mass,0.01203459757510001
syndicate,0.012027735483079447
machine,0.011890945636151586
structure,0.01186083557974007
demand,0.011855701771405864
used,0.011837361614295642
vote,0.01183703639670706
base,0.011815931640356239
post‐trade,0.011754589583703167
force,0.011719335751756202
client,0.011717394730576697
complete,0.011704503100788096
tool,0.011675162891724211
external,0.011666321507962218
section,0.011581193698980204
small,0.011534336681876815
team,0.011506162205347965
higher,0.01149411256193794
good,0.011482035833471294
executive,0.011445730129627048
consumer,0.01139676421770733
continued,0.011394310643398582
cash,0.01136945725638536
director,0.011367119255964021
device,0.011336668392165206
margin,0.0113187961680043
human,0.011311769005077441
paint,0.011251962072239396
start‐ups,0.011251962072239396
trust,0.011233756712689544
counterparties,0.011193315135430022
function,0.01118374143088563
decentralised,0.011177202998948322
institutional,0.011129060559013939
liability,0.011082889216831508
servicing,0.011052735196655136
public,0.011048952850046175
2015,0.011046014151602834
ensure,0.011016443663980965
develop,0.010955366038021462
sector,0.010912361711191386
manual,0.01090232215653274
landscape,0.010894463096304726
liquidity,0.01087823038880744
price,0.010860346982051792
physical,0.01082342995665911
central,0.010737230767289017
low,0.01070969197308532
better,0.0107092211070895
2017,0.01067669876494449
record,0.010645144891297871
advantage,0.010572770345551223
review,0.010464709141789248
allowing,0.010457482656125634
chief,0.01045550815622164
consent,0.010448492456284384
application,0.010431873517689531
syndicated,0.010368737485413317
enabling,0.01031361385051574
currency,0.010230566445265873
visibility,0.010215108391439071
rate,0.010200732395892075
processing,0.0101828557915093
including,0.01017467481352835
delivery,0.01009624662345689
rail,0.010061492869585539
continue,0.01001012019347552
leading,0.010005782798659432
correspondent,0.009988322903681547
importer,0.009953987985996783
insuree,0.009953987985996783
creating,0.00988595468706465
overall,0.009869192784183571
saving,0.009781245067917992
finance,0.009768907920750598
facilitate,0.009766464681147816
effort,0.00976228148557592
drive,0.00974318025548861
usage,0.00972882329708848
real-time,0.009706518393823542
history,0.009688602698542357
allows,0.009684323589922706
established,0.009671472698906865
making,0.009630451474603827
build,0.009610718133855441
country,0.00958724531156616
policy,0.009544916988088346
deliver,0.009527808998956737
decision,0.009489136244363872
algorithmic,0.009412381472798586
distributor,0.009376635060199496
error,0.009343125789436288
connection,0.009249827397219593
strong,0.009221454733202432
beneficiary,0.009124524139839637
import,0.009124488987163719
auditor,0.009124488987163719
connectivity,0.009121383574817853
year,0.009101636144532686
necessary,0.009089996954273188
matter,0.009077073405090747
diligence,0.009068455443693084
environment,0.009056599744211163
clearing,0.008974467466028688
economy,0.008969135190363773
subject,0.008965812396468422
flow,0.00895751578124612
archetype,0.008937704434320334
shared,0.008932017550154749
shifting,0.00892599542544881
purpose,0.008922376669794434
automation,0.008920397569459525
face,0.008903456787771671
reducing,0.00888457731434376
advice,0.008846093527958543
form,0.008833606860970691
on…,0.008824107630748673
description,0.008736851071944655
ratio,0.008733725926357625
export,0.008709739487747186
major,0.008680423634826446
away,0.008679761306374066
calculation,0.008638633584182457
fintech,0.008635173668790871
consolidation,0.008609804756138192
officer,0.008609199812240464
collection,0.008594600394329138
quantitative,0.00856572645234547
initiate,0.008556763950537779
disruptive,0.008539752811669934
stored,0.008532454245869417
direct,0.008523020347063965
early,0.00852151798842779
important,0.00848283478436231
accrue,0.00845830341699212
problem,0.008449634669441528
best,0.008443851836861303
segment,0.008413226530529519
creation,0.00838091176149768
commercial,0.008374801799742725
building,0.008348604411640061
governance,0.008338851504659898
disruption,0.008331367345689589
significantly,0.008313899671803203
easily,0.00830288816489754
exporter,0.008294989988330654
trigger,0.00829203471755444
standardized,0.008262861969452577
insurtechs,0.008251438852975556
specific,0.008234879296066214
store,0.008216217335705909
net,0.008204612302690586
canada,0.008200460338440263
work,0.008190052115449634
smarter,0.008180337390318383
manage,0.008176171578743195
registry,0.008172432759903332
framework,0.008157972485029912
corporate,0.008155227623445362
local,0.008138635536155906
currently,0.008065072386363696
power,0.008065030713681752
event,0.008064001005975615
particularly,0.008058879107722973
sophisticated,0.008001174856295869
limit,0.007992698983772195
authenticate,0.007960756157169055
narrative,0.007948436463288631
secure,0.007939608351704423
area,0.007882090381582113
various,0.007834576243227254
trader,0.007813101639486956
characteristic,0.007810287483530185
available,0.007784143702200222
preference,0.0077444038277968185
successful,0.007733475442386495
determine,0.007733401539842624
invest,0.007732785604483961
privacy,0.0077314365056988296
leveraging,0.007679851342276681
operation,0.007660792418464425
adjudication,0.007611788919517106
agreement,0.007606201993518231
developed,0.007591998395903712
help,0.007586810866293952
especially,0.007563920436770861
profit,0.007548146111049882
transferred,0.007545371399010355
hold,0.007541834737434486
fraud,0.007540999647410675
letter,0.007520245449158214
certain,0.007487983489464347
pledged,0.007465490989497589
absorption,0.007465490989497589
depiction,0.007465490989497589
cast,0.007465490989497589
real,0.007447187328466204
manufacturer,0.007433132876869591
protocol,0.007403681056424628
like,0.007391557045962473
secondary,0.007390764262213715
loyalty,0.007386287895258293
overview,0.007381632664336802
worth,0.007380343570753566
leader,0.00734665539122445
evolve,0.00731587029136159
behaviour,0.0073072546129227525
coverage,0.0073037705743621475
wallet,0.0072988840951565825
driving,0.007296706012615608
international,0.007275183553429402
tax,0.007240756024877082
action,0.007235225138588073
option,0.0072244858553405615
position,0.0072212578313378215
leverage,0.007206542204607571
non‐financial,0.007193507014592352
document,0.007167353548172554
growing,0.007140448007785078
dimension,0.0071324254211531535
b2b,0.007126242645751618
robo‐advisors,0.007126242645751618
perform,0.007098733104926787
line,0.007095934173995062
pay,0.007063466151049761
